transaction_id,customer_id,transaction_date,transaction_amount,transaction_type,merchant_category,failed_transaction_count,fraud_label
TXN-00000001,CUST-000001,2025-11-10,142.67,purchase,subscription,2,0
TXN-00000002,CUST-000001,2025-11-24,94.97,transfer,grocery,1,0
TXN-00000003,CUST-000001,2025-11-07,81.68,purchase,subscription,0,0
TXN-00000004,CUST-000001,2025-09-09,29.39,purchase,electronics,0,0
TXN-00000005,CUST-000001,2025-08-11,286.4,purchase,travel,0,0
TXN-00000006,CUST-000001,2025-08-03,112.9,purchase,subscription,0,0
TXN-00000007,CUST-000002,2025-11-04,92.93,purchase,digital_goods,1,0
TXN-00000008,CUST-000002,2025-08-30,78.26,purchase,grocery,0,0
TXN-00000009,CUST-000002,2025-10-10,68.49,refund,electronics,1,0
TXN-00000010,CUST-000002,2025-09-25,29.91,purchase,electronics,1,0
TXN-00000011,CUST-000002,2025-09-03,94.8,subscription,cash_transfer,0,0
TXN-00000012,CUST-000003,2025-10-07,45.56,refund,grocery,0,0
TXN-00000013,CUST-000003,2025-12-13,32.51,purchase,grocery,0,0
TXN-00000014,CUST-000003,2025-07-16,26.37,refund,travel,0,0
TXN-00000015,CUST-000003,2025-10-05,37.78,subscription,subscription,0,0
TXN-00000016,CUST-000004,2025-08-02,29.71,transfer,subscription,1,0
TXN-00000017,CUST-000004,2025-11-22,18.11,purchase,grocery,0,0
TXN-00000018,CUST-000004,2025-11-08,14.97,purchase,subscription,2,0
TXN-00000019,CUST-000005,2025-07-08,11.05,purchase,grocery,0,0
TXN-00000020,CUST-000005,2025-10-13,62.12,purchase,digital_goods,0,0
TXN-00000021,CUST-000005,2025-07-19,53.52,purchase,travel,0,0
TXN-00000022,CUST-000005,2025-09-19,61.84,purchase,grocery,0,0
TXN-00000023,CUST-000005,2025-09-17,30.96,purchase,subscription,1,0
TXN-00000024,CUST-000006,2025-07-23,23.92,purchase,electronics,0,0
TXN-00000025,CUST-000006,2025-09-26,17.62,purchase,cash_transfer,0,0
TXN-00000026,CUST-000006,2025-09-08,46.94,purchase,subscription,1,0
TXN-00000027,CUST-000006,2025-12-03,25.4,purchase,grocery,0,0
TXN-00000028,CUST-000006,2025-10-19,142.28,purchase,subscription,0,0
TXN-00000029,CUST-000006,2025-08-26,98.82,subscription,subscription,0,0
TXN-00000030,CUST-000007,2025-07-11,68.15,refund,electronics,0,0
TXN-00000031,CUST-000007,2025-09-25,84.05,subscription,cash_transfer,1,0
TXN-00000032,CUST-000007,2025-11-06,22.2,purchase,travel,0,0
TXN-00000033,CUST-000007,2025-09-05,316.98,transfer,cash_transfer,0,0
TXN-00000034,CUST-000008,2025-10-25,17.69,purchase,grocery,0,0
TXN-00000035,CUST-000008,2025-12-28,8.84,purchase,cash_transfer,0,0
TXN-00000036,CUST-000008,2025-08-02,41.74,purchase,electronics,2,0
TXN-00000037,CUST-000008,2025-09-26,53.95,purchase,grocery,0,0
TXN-00000038,CUST-000008,2025-11-11,28.64,purchase,electronics,0,0
TXN-00000039,CUST-000009,2025-08-17,41.95,purchase,travel,0,0
TXN-00000040,CUST-000009,2025-08-09,42.89,purchase,digital_goods,0,0
TXN-00000041,CUST-000009,2025-11-18,79.21,purchase,grocery,2,0
TXN-00000042,CUST-000010,2025-08-17,11.9,subscription,digital_goods,0,1
TXN-00000043,CUST-000010,2025-12-05,13.31,purchase,electronics,1,0
TXN-00000044,CUST-000010,2025-07-09,35.79,purchase,grocery,1,0
TXN-00000045,CUST-000010,2025-07-10,19.45,purchase,subscription,0,0
TXN-00000046,CUST-000011,2025-11-16,40.08,purchase,travel,0,0
TXN-00000047,CUST-000011,2025-10-02,46.32,purchase,grocery,0,0
TXN-00000048,CUST-000011,2025-10-30,16.52,purchase,electronics,0,0
TXN-00000049,CUST-000011,2025-09-22,67.59,purchase,subscription,0,0
TXN-00000050,CUST-000011,2025-10-04,58.35,subscription,cash_transfer,0,0
TXN-00000051,CUST-000011,2025-12-12,45.53,purchase,cash_transfer,2,0
TXN-00000052,CUST-000012,2025-09-30,66.8,purchase,subscription,0,0
TXN-00000053,CUST-000013,2025-10-18,35.6,purchase,travel,0,0
TXN-00000054,CUST-000014,2025-10-24,33.91,purchase,grocery,2,0
TXN-00000055,CUST-000015,2025-12-08,113.71,refund,subscription,1,0
TXN-00000056,CUST-000015,2025-12-26,238.38,purchase,digital_goods,1,1
TXN-00000057,CUST-000015,2025-08-01,297.75,transfer,electronics,0,0
TXN-00000058,CUST-000015,2025-10-17,313.83,purchase,subscription,0,0
TXN-00000059,CUST-000015,2025-08-16,234.93,purchase,travel,0,0
TXN-00000060,CUST-000015,2025-10-30,1306.39,refund,subscription,0,0
TXN-00000061,CUST-000015,2025-09-23,245.65,transfer,subscription,0,0
TXN-00000062,CUST-000015,2025-12-02,275.93,refund,travel,1,0
TXN-00000063,CUST-000015,2025-11-09,222.88,purchase,digital_goods,1,0
TXN-00000064,CUST-000016,2025-11-16,103.64,purchase,grocery,0,0
TXN-00000065,CUST-000016,2025-09-06,9.32,purchase,grocery,0,0
TXN-00000066,CUST-000016,2025-07-15,13.83,transfer,electronics,0,0
TXN-00000067,CUST-000016,2025-12-12,59.29,purchase,cash_transfer,0,0
TXN-00000068,CUST-000016,2025-09-06,33.2,purchase,grocery,2,0
TXN-00000069,CUST-000016,2025-10-09,17.38,purchase,electronics,0,0
TXN-00000070,CUST-000017,2025-10-27,31.77,purchase,travel,0,0
TXN-00000071,CUST-000017,2025-07-21,25.41,purchase,subscription,0,0
TXN-00000072,CUST-000017,2025-08-12,151.81,purchase,cash_transfer,1,0
